project_name,num_features,reduction_percentage,feature_names
GaussianNB_10_features_reduced_by_20_percent0,10,20,"previous, pdays, loan, day_of_week, cons.price.idx, housing, emp.var.rate, age, euribor3m, month"
GaussianNB_10_features_reduced_by_40_percent0,10,40,"previous, pdays, loan, day_of_week, cons.price.idx, housing, emp.var.rate, age, euribor3m, month"
GaussianNB_10_features_reduced_by_60_percent0,10,60,"previous, pdays, loan, day_of_week, cons.price.idx, housing, emp.var.rate, age, euribor3m, month"
GaussianNB_10_features_reduced_by_80_percent0,10,80,"previous, pdays, loan, day_of_week, cons.price.idx, housing, emp.var.rate, age, euribor3m, month"
GaussianNB_9_features_reduced_by_0_percent0,9,0,"contact, default, housing, marital, previous, y, cons.price.idx, loan, emp.var.rate"
GaussianNB_9_features_reduced_by_20_percent0,9,20,"contact, default, housing, marital, previous, y, cons.price.idx, loan, emp.var.rate"
GaussianNB_9_features_reduced_by_40_percent0,9,40,"contact, default, housing, marital, previous, y, cons.price.idx, loan, emp.var.rate"
GaussianNB_9_features_reduced_by_60_percent0,9,60,"contact, default, housing, marital, previous, y, cons.price.idx, loan, emp.var.rate"
GaussianNB_9_features_reduced_by_80_percent0,9,80,"contact, default, housing, marital, previous, y, cons.price.idx, loan, emp.var.rate"
GaussianNB_8_features_reduced_by_0_percent0,8,0,"housing, loan, month, day_of_week, nr.employed, default, cons.price.idx, cons.conf.idx"
GaussianNB_8_features_reduced_by_20_percent0,8,20,"housing, loan, month, day_of_week, nr.employed, default, cons.price.idx, cons.conf.idx"
GaussianNB_8_features_reduced_by_40_percent0,8,40,"housing, loan, month, day_of_week, nr.employed, default, cons.price.idx, cons.conf.idx"
GaussianNB_8_features_reduced_by_60_percent0,8,60,"housing, loan, month, day_of_week, nr.employed, default, cons.price.idx, cons.conf.idx"
GaussianNB_8_features_reduced_by_80_percent0,8,80,"housing, loan, month, day_of_week, nr.employed, default, cons.price.idx, cons.conf.idx"
