energy_consumed,num_num_features,num_cat_features,number_of_instances,model
8.211414326243333e-07,4,12,63999.999999999985,3.0
4.829436876544454e-06,4,11,320000.0,3.0
6.499670272174602e-06,4,11,256000.0,3.0
2.903517483552618e-06,4,11,192000.0,3.0
1.7817691036160317e-06,4,11,128000.0,3.0
9.515960967181376e-07,4,11,63999.999999999985,3.0
4.317249646627235e-06,4,10,320000.0,3.0
3.3804329698843582e-06,4,10,256000.0,3.0
4.703439399912984e-06,4,10,192000.0,3.0
1.5819145420200203e-06,4,10,128000.0,3.0
8.471211410257714e-07,4,10,63999.999999999985,3.0
4.823970000805073e-06,4,9,320000.0,3.0
3.922353360301006e-06,4,9,256000.0,3.0
2.5269608920824444e-06,4,9,192000.0,3.0
2.8254848465100703e-06,4,9,128000.0,3.0
1.6457043322674282e-06,4,9,63999.999999999985,3.0
4.307840853332184e-06,3,9,320000.0,3.0
3.045520383151433e-06,3,9,256000.0,3.0
2.335313475823379e-06,3,9,192000.0,3.0
1.5886593699617735e-06,3,9,128000.0,3.0
1.5446005029477622e-06,3,9,63999.999999999985,3.0
7.372084704377357e-06,2,9,320000.0,3.0
3.4673680724848864e-06,2,9,256000.0,3.0
2.5910122785142503e-06,2,9,192000.0,3.0
1.942223176781176e-06,2,9,128000.0,3.0
9.035767877005836e-07,2,9,63999.999999999985,3.0
7.231256083664701e-06,3,7,320000.0,3.0
5.439010031418611e-06,3,7,256000.0,3.0
2.2306202141606946e-06,3,7,192000.0,3.0
1.6579951107337998e-06,3,7,128000.0,3.0
7.932852316366103e-07,3,7,63999.999999999985,3.0
3.993195097982039e-06,3,6,320000.0,3.0
4.877646604352511e-06,3,6,256000.0,3.0
5.177007931675664e-06,3,6,192000.0,3.0
1.5263089337761613e-06,3,6,128000.0,3.0
8.761122219460225e-07,3,6,63999.999999999985,3.0
3.006620670225541e-06,4,4,320000.0,3.0
2.372578585940725e-06,4,4,256000.0,3.0
2.305384198403557e-06,4,4,192000.0,3.0
2.3949679462459825e-06,4,4,128000.0,3.0
6.940780163227425e-07,4,4,63999.999999999985,3.0
3.2139452292069686e-06,1,6,320000.0,3.0
2.544393652672738e-06,1,6,256000.0,3.0
2.0290407867075075e-06,1,6,192000.0,3.0
1.3616111993213862e-06,1,6,128000.0,3.0
1.5500349326540827e-06,1,6,63999.999999999985,3.0
4.323249257440884e-06,1,5,320000.0,3.0
2.477204027070772e-06,1,5,256000.0,3.0
1.738776280870032e-06,1,5,192000.0,3.0
1.2829486238445045e-06,1,5,128000.0,3.0
6.285390350999226e-07,1,5,63999.999999999985,3.0
4.958708624291969e-06,1,4,320000.0,3.0
2.979191824998237e-06,1,4,256000.0,3.0
1.7507641057682756e-06,1,4,192000.0,3.0
1.1142563835401615e-06,1,4,128000.0,3.0
6.85633308548164e-07,1,4,63999.999999999985,3.0
